dot_values,colour_values,participant,.thisRepN,.thisTrialN,.thisN,.thisIndex,response,response_time,date,
9.0,LightPink,112,0,246,246,246,m,0.21676492691,2016_Jul_15_1138,
2.0,Brown,112,0,247,247,247,m,0.272395133972,2016_Jul_15_1138,
4.0,Blue,112,0,248,248,248,m,0.0886280536652,2016_Jul_15_1138,
5.0,Red,112,0,249,249,249,m,0.120773077011,2016_Jul_15_1138,
7.0,Green,112,0,250,250,250,m,0.0804588794708,2016_Jul_15_1138,
3.0,Yellow,112,0,251,251,251,m,0.128644943237,2016_Jul_15_1138,
9.0,LightPink,112,0,252,252,252,m,0.144451856613,2016_Jul_15_1138,
2.0,Brown,112,0,253,253,253,m,0.168684005737,2016_Jul_15_1138,
4.0,Purple,112,0,254,254,254,m,0.136391878128,2016_Jul_15_1138,
1.0,Orange,112,0,255,255,255,m,0.136718034744,2016_Jul_15_1138,
8.0,DarkGray,112,0,256,256,256,m,0.112550020218,2016_Jul_15_1138,
6.0,Yellow,112,0,257,257,257,m,0.312201976776,2016_Jul_15_1138,
9.0,LightPink,112,0,258,258,258,m,0.280483007431,2016_Jul_15_1138,
2.0,Brown,112,0,259,259,259,m,0.31222319603,2016_Jul_15_1138,
4.0,Blue,112,0,260,260,260,m,0.296270847321,2016_Jul_15_1138,
1.0,Red,112,0,261,261,261,m,0.296317100525,2016_Jul_15_1138,
8.0,Green,112,0,262,262,262,m,0.24832201004,2016_Jul_15_1138,
6.0,Yellow,112,0,263,263,263,m,0.184448003769,2016_Jul_15_1138,
9.0,LightPink,112,0,264,264,264,m,0.24019408226,2016_Jul_15_1138,
2.0,Brown,112,0,265,265,265,m,0.248198032379,2016_Jul_15_1138,
4.0,Purple,112,0,266,266,266,m,0.224157094955,2016_Jul_15_1138,
1.0,Orange,112,0,267,267,267,m,0.272428035736,2016_Jul_15_1138,
8.0,DarkGray,112,0,268,268,268,m,0.344303846359,2016_Jul_15_1138,
6.0,Yellow,112,0,269,269,269,m,0.304306983948,2016_Jul_15_1138,
5.0,LightPink,112,0,270,270,270,m,0.440222978592,2016_Jul_15_1138,
7.0,Brown,112,0,271,271,271,m,0.544137954712,2016_Jul_15_1138,
3.0,Blue,112,0,272,272,272,m,0.544115066528,2016_Jul_15_1138,
1.0,Red,112,0,273,273,273,m,0.544027090073,2016_Jul_15_1138,
8.0,Green,112,0,274,274,274,m,0.576145172119,2016_Jul_15_1138,
6.0,Yellow,112,0,275,275,275,,,2016_Jul_15_1138,
5.0,LightPink,112,0,276,276,276,,,2016_Jul_15_1138,
7.0,Brown,112,0,277,277,277,,,2016_Jul_15_1138,
3.0,Blue,112,0,278,278,278,m,0.560045957565,2016_Jul_15_1138,
9.0,Red,112,0,279,279,279,m,0.528168201447,2016_Jul_15_1138,
2.0,Green,112,0,280,280,280,m,0.496058940887,2016_Jul_15_1138,
4.0,Yellow,112,0,281,281,281,m,0.448309898376,2016_Jul_15_1138,
1.0,LightPink,112,0,282,282,282,m,0.431838989258,2016_Jul_15_1138,
8.0,Brown,112,0,283,283,283,m,0.447863101959,2016_Jul_15_1138,
6.0,Blue,112,0,284,284,284,m,0.400188207626,2016_Jul_15_1138,
5.0,Red,112,0,285,285,285,m,0.368052005768,2016_Jul_15_1138,
7.0,Green,112,0,286,286,286,m,0.375921964645,2016_Jul_15_1138,
3.0,Purple,112,0,287,287,287,m,0.312188148499,2016_Jul_15_1138,
nan,nan,112,0,288,288,288,z,0.448251008987,2016_Jul_15_1138,
9.0,Orange,112,0,289,289,289,m,0.327773809433,2016_Jul_15_1138,
2.0,DarkGray,112,0,290,290,290,m,0.295953989029,2016_Jul_15_1138,
nan,nan,112,0,291,291,291,z,0.584019899368,2016_Jul_15_1138,
4.0,Blue,112,0,292,292,292,m,0.376043081284,2016_Jul_15_1138,
1.0,Red,112,0,293,293,293,m,0.319753885269,2016_Jul_15_1138,
8.0,Green,112,0,294,294,294,m,0.319858074188,2016_Jul_15_1138,
6.0,Purple,112,0,295,295,295,m,0.287688970566,2016_Jul_15_1138,
5.0,Orange,112,0,296,296,296,m,0.295729875565,2016_Jul_15_1138,
7.0,DarkGray,112,0,297,297,297,m,0.359886169434,2016_Jul_15_1138,
nan,nan,112,0,298,298,298,z,0.47999215126,2016_Jul_15_1138,
3.0,Blue,112,0,299,299,299,m,0.4478931427,2016_Jul_15_1138,
1.0,Red,112,0,300,300,300,m,0.335558176041,2016_Jul_15_1138,
8.0,Green,112,0,301,301,301,m,0.303904056549,2016_Jul_15_1138,
6.0,Yellow,112,0,302,302,302,m,0.231935024261,2016_Jul_15_1138,
9.0,LightPink,112,0,303,303,303,m,0.343546867371,2016_Jul_15_1138,
2.0,Brown,112,0,304,304,304,m,0.319816112518,2016_Jul_15_1138,
4.0,Purple,112,0,305,305,305,m,0.295526027679,2016_Jul_15_1138,
1.0,Orange,112,0,306,306,306,m,0.319920063019,2016_Jul_15_1138,
8.0,DarkGray,112,0,307,307,307,m,0.423649072647,2016_Jul_15_1138,
nan,nan,112,0,308,308,308,z,0.439551830292,2016_Jul_15_1138,
6.0,Yellow,112,0,309,309,309,m,0.303484916687,2016_Jul_15_1138,
9.0,LightPink,112,0,310,310,310,m,0.239692926407,2016_Jul_15_1138,
2.0,Brown,112,0,311,311,311,m,0.279870986938,2016_Jul_15_1138,
4.0,Blue,112,0,312,312,312,m,0.287479877472,2016_Jul_15_1138,
nan,nan,112,0,313,313,313,z,0.487653017044,2016_Jul_15_1138,
5.0,Red,112,0,314,314,314,,,2016_Jul_15_1138,
7.0,Green,112,0,315,315,315,m,0.527542114258,2016_Jul_15_1138,
3.0,Purple,112,0,316,316,316,m,0.463639974594,2016_Jul_15_1138,
nan,nan,112,0,317,317,317,z,0.375569105148,2016_Jul_15_1138,
1.0,Orange,112,0,318,318,318,m,0.183704853058,2016_Jul_15_1138,
nan,nan,112,0,319,319,319,m,0.159534215927,2016_Jul_15_1138,
8.0,DarkGray,112,0,320,320,320,m,0.543637990952,2016_Jul_15_1138,
6.0,Yellow,112,0,321,321,321,m,0.599606990814,2016_Jul_15_1138,
9.0,LightPink,112,0,322,322,322,m,0.487437009811,2016_Jul_15_1138,
2.0,Brown,112,0,323,323,323,m,0.375446081161,2016_Jul_15_1138,
4.0,Purple,112,0,324,324,324,m,0.255594015121,2016_Jul_15_1138,
5.0,Orange,112,0,325,325,325,m,0.271231174469,2016_Jul_15_1138,
7.0,DarkGray,112,0,326,326,326,m,0.463581800461,2016_Jul_15_1138,
3.0,Yellow,112,0,327,327,327,m,0.559242010117,2016_Jul_15_1138,
1.0,LightPink,112,0,328,328,328,m,0.455471038818,2016_Jul_15_1138,
8.0,Brown,112,0,329,329,329,m,0.439357995987,2016_Jul_15_1138,
6.0,Blue,112,0,330,330,330,m,0.407540082932,2016_Jul_15_1138,
9.0,Red,112,0,331,331,331,m,0.439080953598,2016_Jul_15_1138,
2.0,Green,112,0,332,332,332,m,0.431086063385,2016_Jul_15_1138,
4.0,Yellow,112,0,333,333,333,m,0.375343084335,2016_Jul_15_1138,
5.0,LightPink,112,0,334,334,334,m,0.415212869644,2016_Jul_15_1138,
7.0,Brown,112,0,335,335,335,m,0.423084974289,2016_Jul_15_1138,
3.0,Purple,112,0,336,336,336,m,0.423072099686,2016_Jul_15_1138,
9.0,Orange,112,0,337,337,337,m,0.43138885498,2016_Jul_15_1138,
nan,nan,112,0,338,338,338,z,0.479282140732,2016_Jul_15_1138,
2.0,DarkGray,112,0,339,339,339,m,0.223346948624,2016_Jul_15_1138,
4.0,Yellow,112,0,340,340,340,m,0.263056993484,2016_Jul_15_1138,
5.0,LightPink,112,0,341,341,341,m,0.295157909393,2016_Jul_15_1138,
7.0,Brown,112,0,342,342,342,m,0.223140001297,2016_Jul_15_1138,
3.0,Blue,112,0,343,343,343,m,0.335296869278,2016_Jul_15_1138,
1.0,Red,112,0,344,344,344,m,0.495188951492,2016_Jul_15_1138,
8.0,Green,112,0,345,345,345,m,0.351105928421,2016_Jul_15_1138,
6.0,Purple,112,0,346,346,346,m,0.367144107819,2016_Jul_15_1138,
5.0,Orange,112,0,347,347,347,m,0.303025960922,2016_Jul_15_1138,
7.0,DarkGray,112,0,348,348,348,m,0.487221002579,2016_Jul_15_1138,
3.0,Blue,112,0,349,349,349,m,0.359046936035,2016_Jul_15_1138,
1.0,Red,112,0,350,350,350,m,0.319063901901,2016_Jul_15_1138,
8.0,Green,112,0,351,351,351,m,0.278959035873,2016_Jul_15_1138,
6.0,Yellow,112,0,352,352,352,m,0.295040845871,2016_Jul_15_1138,
5.0,LightPink,112,0,353,353,353,m,0.359086990356,2016_Jul_15_1138,
