dot_values,colour_values,participant,response,response_time,date,correct_response,answered_correctly
5.0,Red,110,m,0.446228027344,2016_Aug_16_1429,m,1
7.0,Green,110,m,0.206061840057,2016_Aug_16_1429,m,1
3.0,Yellow,110,m,0.582087993622,2016_Aug_16_1429,m,1
1.0,LightPink,110,m,0.285887956619,2016_Aug_16_1429,m,1
8.0,Brown,110,m,0.0220990180969,2016_Aug_16_1429,m,1
6.0,Blue,110,m,0.190064191818,2016_Aug_16_1429,m,1
5.0,Red,110,m,0.422180175781,2016_Aug_16_1429,m,1
7.0,Green,110,m,0.133809089661,2016_Aug_16_1429,m,1
3.0,Yellow,110,,,2016_Aug_16_1429,m,0
9.0,LightPink,110,m,0.582105875015,2016_Aug_16_1429,m,1
2.0,Brown,110,m,0.278105020523,2016_Aug_16_1429,m,1
4.0,Purple,110,m,0.0459799766541,2016_Aug_16_1429,m,1
5.0,Orange,110,m,0.477785110474,2016_Aug_16_1429,m,1
7.0,DarkGray,110,m,0.245855808258,2016_Aug_16_1429,m,1
3.0,Yellow,110,m,0.278003931046,2016_Aug_16_1429,m,1
1.0,LightPink,110,m,0.277833938599,2016_Aug_16_1429,m,1
8.0,Brown,110,m,0.24606013298,2016_Aug_16_1429,m,1
6.0,Blue,110,m,0.0458660125732,2016_Aug_16_1429,m,1
,,110,z,0.510031938553,2016_Aug_16_1429,z,1
5.0,Red,110,m,0.197797060013,2016_Aug_16_1429,m,1
7.0,Green,110,m,0.27781701088,2016_Aug_16_1429,m,1
3.0,Purple,110,m,0.301947116852,2016_Aug_16_1429,m,1
9.0,Orange,110,m,0.341809034348,2016_Aug_16_1429,m,1
2.0,DarkGray,110,m,0.421811819077,2016_Aug_16_1429,m,1
4.0,Blue,110,m,0.173990011215,2016_Aug_16_1429,m,1
5.0,Red,110,m,0.317786931992,2016_Aug_16_1429,m,1
7.0,Green,110,m,0.0455958843231,2016_Aug_16_1429,m,1
3.0,Yellow,110,m,0.301512002945,2016_Aug_16_1429,m,1
9.0,LightPink,110,m,0.0379660129547,2016_Aug_16_1429,m,1
2.0,Brown,110,m,0.0458199977875,2016_Aug_16_1429,m,1
4.0,Purple,110,m,0.0619220733643,2016_Aug_16_1429,m,1
,,110,m,0.0775971412659,2016_Aug_16_1429,z,0
5.0,Orange,110,m,0.141474962234,2016_Aug_16_1429,m,1
7.0,DarkGray,110,m,0.149682044983,2016_Aug_16_1429,m,1
3.0,Blue,110,m,0.165874004364,2016_Aug_16_1429,m,1
9.0,Red,110,m,0.141551017761,2016_Aug_16_1429,m,1
2.0,Green,110,m,0.237687110901,2016_Aug_16_1429,m,1
4.0,Yellow,110,m,0.285606145859,2016_Aug_16_1429,m,1
5.0,LightPink,110,m,0.309545993805,2016_Aug_16_1429,m,1
7.0,Brown,110,m,0.301572084427,2016_Aug_16_1429,m,1
3.0,Purple,110,,,2016_Aug_16_1429,m,0
9.0,Orange,110,m,0.3335750103,2016_Aug_16_1429,m,1
2.0,DarkGray,110,,,2016_Aug_16_1429,m,0
4.0,Yellow,110,m,0.445308208466,2016_Aug_16_1429,m,1
5.0,LightPink,110,m,0.109709024429,2016_Aug_16_1429,m,1
7.0,Brown,110,m,0.285731077194,2016_Aug_16_1429,m,1
3.0,Purple,110,m,0.125336885452,2016_Aug_16_1429,m,1
9.0,Orange,110,m,0.549446821213,2016_Aug_16_1429,m,1
2.0,DarkGray,110,m,0.293706893921,2016_Aug_16_1429,m,1
4.0,Blue,110,m,0.109596967697,2016_Aug_16_1429,m,1
1.0,Red,110,m,0.357357025146,2016_Aug_16_1429,m,1
,,110,z,0.397427082062,2016_Aug_16_1429,z,1
8.0,Green,110,m,0.0934879779816,2016_Aug_16_1429,m,1
6.0,Yellow,110,m,0.277422904968,2016_Aug_16_1429,m,1
9.0,LightPink,110,m,0.293312072754,2016_Aug_16_1429,m,1
,,110,m,0.173398971558,2016_Aug_16_1429,z,0
2.0,Brown,110,m,0.237318992615,2016_Aug_16_1429,m,1
4.0,Purple,110,m,0.341226816177,2016_Aug_16_1429,m,1
1.0,Orange,110,m,0.285208940506,2016_Aug_16_1429,m,1
8.0,DarkGray,110,m,0.0214729309082,2016_Aug_16_1429,m,1
6.0,Blue,110,m,0.269356012344,2016_Aug_16_1429,m,1
5.0,Red,110,m,0.421272039413,2016_Aug_16_1429,m,1
7.0,Green,110,m,0.165479898453,2016_Aug_16_1429,m,1
3.0,Purple,110,m,0.301255941391,2016_Aug_16_1429,m,1
9.0,Orange,110,,,2016_Aug_16_1429,m,0
2.0,DarkGray,110,m,0.38138794899,2016_Aug_16_1429,m,1
4.0,Yellow,110,m,0.229484081268,2016_Aug_16_1429,m,1
1.0,LightPink,110,m,0.0611009597778,2016_Aug_16_1429,m,1
8.0,Brown,110,,,2016_Aug_16_1429,m,0
6.0,Blue,110,m,0.0770728588104,2016_Aug_16_1429,m,1
9.0,Red,110,m,0.0692090988159,2016_Aug_16_1429,m,1
2.0,Green,110,m,0.141067028046,2016_Aug_16_1429,m,1
4.0,Purple,110,m,0.269321918488,2016_Aug_16_1429,m,1
5.0,Orange,110,m,0.27702999115,2016_Aug_16_1429,m,1
7.0,DarkGray,110,m,0.301394939423,2016_Aug_16_1429,m,1
3.0,Yellow,110,m,0.237076997757,2016_Aug_16_1429,m,1
1.0,LightPink,110,m,0.213155984879,2016_Aug_16_1429,m,1
,,110,m,0.204946041107,2016_Aug_16_1429,z,0
8.0,Brown,110,m,0.293172836304,2016_Aug_16_1429,m,1
6.0,Blue,110,m,0.0931129455566,2016_Aug_16_1429,m,1
9.0,Red,110,m,0.293143987656,2016_Aug_16_1429,m,1
2.0,Green,110,m,0.244879961014,2016_Aug_16_1429,m,1
4.0,Yellow,110,m,0.269098997116,2016_Aug_16_1429,m,1
5.0,LightPink,110,m,0.0612759590149,2016_Aug_16_1429,m,1
7.0,Brown,110,m,0.0773148536682,2016_Aug_16_1429,m,1
3.0,Purple,110,,,2016_Aug_16_1429,m,0
9.0,Orange,110,m,0.132975101471,2016_Aug_16_1429,m,1
2.0,DarkGray,110,m,0.108994007111,2016_Aug_16_1429,m,1
4.0,Blue,110,,,2016_Aug_16_1429,m,0
1.0,Red,110,m,0.0687909126282,2016_Aug_16_1429,m,1
8.0,Green,110,m,0.0529401302338,2016_Aug_16_1429,m,1
6.0,Yellow,110,m,0.124927997589,2016_Aug_16_1429,m,1
9.0,LightPink,110,m,0.0850470066071,2016_Aug_16_1429,m,1
2.0,Brown,110,m,0.149158000946,2016_Aug_16_1429,m,1
,,110,m,0.16504907608,2016_Aug_16_1429,z,0
4.0,Blue,110,m,0.213192939758,2016_Aug_16_1429,m,1
5.0,Red,110,m,0.284939050674,2016_Aug_16_1429,m,1
7.0,Green,110,m,0.341041088104,2016_Aug_16_1429,m,1
3.0,Yellow,110,m,0.0213189125061,2016_Aug_16_1429,m,1
9.0,LightPink,110,,,2016_Aug_16_1429,m,0
2.0,Brown,110,m,0.348794937134,2016_Aug_16_1429,m,1
4.0,Blue,110,m,0.0690200328827,2016_Aug_16_1429,m,1
1.0,Red,110,,,2016_Aug_16_1429,m,0
8.0,Green,110,,,2016_Aug_16_1429,m,0
6.0,Purple,110,,,2016_Aug_16_1429,m,0
9.0,Orange,110,,,2016_Aug_16_1429,m,0
2.0,DarkGray,110,m,0.372633934021,2016_Aug_16_1429,m,1
4.0,Yellow,110,m,0.132898807526,2016_Aug_16_1429,m,1
1.0,LightPink,110,m,0.0607960224152,2016_Aug_16_1429,m,1
8.0,Brown,110,m,0.140810012817,2016_Aug_16_1429,m,1
6.0,Purple,110,m,0.0685880184174,2016_Aug_16_1429,m,1
9.0,Orange,110,m,0.0764520168304,2016_Aug_16_1429,m,1
2.0,DarkGray,110,m,0.0848350524902,2016_Aug_16_1429,m,1
4.0,Yellow,110,m,0.10081410408,2016_Aug_16_1429,m,1
5.0,LightPink,110,m,0.26056098938,2016_Aug_16_1429,m,1
7.0,Brown,110,m,0.252845048904,2016_Aug_16_1429,m,1
